RecipeID,Group,Name,SizeCode,Ingredient,Detail,Amount,Unit,Grams,Instructions
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,water,Room temperature,0.75,cup,177.75,"1. Put all ingredients (except olives), in the order listed, into bread pan fitted with kneading paddle. Secure bread pan into Cuisinart® Bread Maker.

2. Press the PROG button to select the French program. Select desired Loaf Size. Press START/STOP to begin the bread-making process.

3. When the add-in signal sounds, add the olives. If desired, when paddle signal sounds, press START/STOP to pause the unit; remove dough and kneading
paddle, reshape dough and replace in bread pan. Press START/STOP to continue.

4. When the cycle is complete, remove the bread pan from the machine and transfer bread to a wire rack to cool completely before slicing."
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,Olive oil,,1.5,ts,6.795,
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,kosher salt,,0.75,ts,4.275,
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,Honey,,0.5,ts,3.5,
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,Rosemary,fresh and chopped,1,ts,0.57,
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,flour unbleached,"Unbleached, All-purpose",1.5,cup,180,
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,flour whole-wheat,,0.5,cup,56.5,
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,flour rye,,3,tb,19.2,
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,yeast,"Active dry, Instant or Bread machine",1,ts,3.1,
RCP008C,FrenchItalian,Country French Bread with Olives & Rosemary,C,Kalamata olives,"pitted, drained, patted dry, and halved",0.5,cup,106.5,
RCP009A,FrenchItalian,Parmesan Peppercorn French Bread,A,water,Room Temperature,1.25,cup,296.25,"1. Put all ingredients, in the order listed, into bread pan fitted with kneading paddle. Secure bread pan into the Cuisinart® Bread Maker.

2. Press the PROG button to select the French program. Select desired Crust Color and Loaf Size. Press START/STOP to begin the bread-making process.

3. If desired, when paddle signal sounds, press START/STOP to pause the unit; remove dough and kneading paddle, reshape dough and replace
in bread pan. Press START/STOP to continue.

4. When the cycle is complete, remove the bread pan from the machine and transfer bread to a wire rack to cool completely before slicing."
RCP009A,FrenchItalian,Parmesan Peppercorn French Bread,A,Olive oil,,0.25,cup,54.415,
RCP009A,FrenchItalian,Parmesan Peppercorn French Bread,A,kosher salt,,1.25,ts,7.125,
RCP009A,FrenchItalian,Parmesan Peppercorn French Bread,A,flour unbleached,"Unbleached, All-purpose",3.75,cup,450,
RCP009A,FrenchItalian,Parmesan Peppercorn French Bread,A,Parmesan Cheese,Grated,0.66,cup,66,
RCP009A,FrenchItalian,Parmesan Peppercorn French Bread,A,Black pepper,Freshly ground,0.75,ts,1.5,
RCP009A,FrenchItalian,Parmesan Peppercorn French Bread,A,yeast,"Active dry, Instant or Bread machine",1.5,ts,4.65,
RCP009B,FrenchItalian,Parmesan Peppercorn French Bread,B,water,Room Temperature,1,cup,237,"1. Put all ingredients, in the order listed, into bread pan fitted with kneading paddle. Secure bread pan into the Cuisinart® Bread Maker.

2. Press the PROG button to select the French program. Select desired Crust Color and Loaf Size. Press START/STOP to begin the bread-making process.

3. If desired, when paddle signal sounds, press START/STOP to pause the unit; remove dough and kneading paddle, reshape dough and replace
in bread pan. Press START/STOP to continue.

4. When the cycle is complete, remove the bread pan from the machine and transfer bread to a wire rack to cool completely before slicing."
RCP009B,FrenchItalian,Parmesan Peppercorn French Bread,B,Olive oil,,3,tb,40.8,
RCP009B,FrenchItalian,Parmesan Peppercorn French Bread,B,kosher salt,,1,ts,5.7,
RCP009B,FrenchItalian,Parmesan Peppercorn French Bread,B,flour unbleached,"Unbleached, All-purpose",3,cup,360,
RCP009B,FrenchItalian,Parmesan Peppercorn French Bread,B,Parmesan Cheese,Grated,0.5,cup,50,
RCP009B,FrenchItalian,Parmesan Peppercorn French Bread,B,Black pepper,Freshly ground,0.5,ts,1,
RCP009B,FrenchItalian,Parmesan Peppercorn French Bread,B,yeast,"Active dry, Instant or Bread machine",1.25,ts,3.875,
RCP009C,FrenchItalian,Parmesan Peppercorn French Bread,C,water,Room Temperature,0.75,cup,177.75,"1. Put all ingredients, in the order listed, into bread pan fitted with kneading paddle. Secure bread pan into the Cuisinart® Bread Maker.

2. Press the PROG button to select the French program. Select desired Crust Color and Loaf Size. Press START/STOP to begin the bread-making process.

3. If desired, when paddle signal sounds, press START/STOP to pause the unit; remove dough and kneading paddle, reshape dough and replace
in bread pan. Press START/STOP to continue.

4. When the cycle is complete, remove the bread pan from the machine and transfer bread to a wire rack to cool completely before slicing."
RCP009C,FrenchItalian,Parmesan Peppercorn French Bread,C,Olive oil,,2,tb,27.2,
RCP009C,FrenchItalian,Parmesan Peppercorn French Bread,C,kosher salt,,0.75,ts,4.275,
RCP009C,FrenchItalian,Parmesan Peppercorn French Bread,C,flour unbleached,"Unbleached, All-purpose",2.25,cup,270,
RCP009C,FrenchItalian,Parmesan Peppercorn French Bread,C,Parmesan Cheese,Grated,0.33,cup,33,
RCP009C,FrenchItalian,Parmesan Peppercorn French Bread,C,Black pepper,Freshly ground,0.25,ts,0.5,
RCP009C,FrenchItalian,Parmesan Peppercorn French Bread,C,yeast,"Active dry, Instant or Bread machine",1,ts,3.1,
RCP010A,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,A,water,Room temperature,1.66,cup,393.42,"1. Put all ingredients (except for the raisins), in the order listed, into bread pan fitted with the kneading paddle. Secure bread pan into the
Cuisinart® Bread Maker.

2. Press the PROG button to select the French program. Select desired Loaf Size. Press START/STOP to begin the bread-making process.

3. When the add-in signal sounds, add the raisins. If desired, when paddle signal sounds, press START/STOP to pause the unit; remove dough and kneading
paddle, reshape dough and replace in bread pan. Press START/STOP to continue.

4. When the cycle is complete, remove the bread pan from the machine and transfer bread to a wire rack to cool completely before slicing."
RCP010A,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,A,kosher salt,,2,ts,11.4,
RCP010A,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,A,Fennel seeds,,2,ts,3.6,
RCP010A,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,A,granulated sugar,,1,ts,4.2,
RCP010A,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,A,Semolina flour,,3,cup,501,
RCP010A,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,A,flour unbleached,"Unbleached, All-purpose",1,cup,120,
RCP010A,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,A,yeast,"Active dry, Instant or Bread machine",1.5,ts,4.65,
RCP010A,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,A,Golden raisins,,0.75,cup,123.75,
RCP010B,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,B,water,Room temperature,1.31,cup,310.47,"1. Put all ingredients (except for the raisins), in the order listed, into bread pan fitted with the kneading paddle. Secure bread pan into the
Cuisinart® Bread Maker.

2. Press the PROG button to select the French program. Select desired Loaf Size. Press START/STOP to begin the bread-making process.

3. When the add-in signal sounds, add the raisins. If desired, when paddle signal sounds, press START/STOP to pause the unit; remove dough and kneading
paddle, reshape dough and replace in bread pan. Press START/STOP to continue.

4. When the cycle is complete, remove the bread pan from the machine and transfer bread to a wire rack to cool completely before slicing."
RCP010B,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,B,kosher salt,,1.5,ts,8.55,
RCP010B,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,B,Fennel seeds,,1.5,ts,2.7,
RCP010B,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,B,granulated sugar,,0.75,ts,3.15,
RCP010B,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,B,Semolina flour,,2.25,cup,375.75,
RCP010B,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,B,flour unbleached,"Unbleached, All-purpose",0.75,cup,90,
RCP010B,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,B,yeast,"Active dry, Instant or Bread machine",1.25,ts,3.875,
RCP010B,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,B,Golden raisins,,0.66,cup,108.9,
RCP010C,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,C,water,Room temperature,0.88,cup,208.56,"1. Put all ingredients (except for the raisins), in the order listed, into bread pan fitted with the kneading paddle. Secure bread pan into the
Cuisinart® Bread Maker.

2. Press the PROG button to select the French program. Select desired Loaf Size. Press START/STOP to begin the bread-making process.

3. When the add-in signal sounds, add the raisins. If desired, when paddle signal sounds, press START/STOP to pause the unit; remove dough and kneading
paddle, reshape dough and replace in bread pan. Press START/STOP to continue.

4. When the cycle is complete, remove the bread pan from the machine and transfer bread to a wire rack to cool completely before slicing."
RCP010C,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,C,kosher salt,,1,ts,5.7,
RCP010C,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,C,Fennel seeds,,1,ts,1.8,
RCP010C,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,C,granulated sugar,,0.5,ts,2.1,
RCP010C,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,C,Semolina flour,,1.5,cup,250.5,
RCP010C,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,C,flour unbleached,"Unbleached, All-purpose",0.5,cup,60,
RCP010C,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,C,yeast,"Active dry, Instant or Bread machine",1,ts,3.1,
RCP010C,FrenchItalian,Semolina Bread with Fennel & Golden Raisins,C,Golden raisins,,0.5,cup,82.5,
